sample_id,writer_id,source_path,set_id,line_id,prompt_reference,reference,gt_text,gt_status,gt_source,flat_image_path,image_path,crop_x0,crop_y0,crop_x1,crop_y1,line_has_handwriting,line_status,line_exportable,line_ink_pixels,line_ink_ratio,line_ink_bbox_area,line_ink_bbox_ratio,needs_review,sex,difficulty,difficulty_group,checkbox_sex_female_density,checkbox_sex_male_density,checkbox_difficulty_none_density,checkbox_difficulty_dysgraphia_density,checkbox_difficulty_other_density,checkbox_sex_female_extra_density,checkbox_sex_male_extra_density,checkbox_difficulty_none_extra_density,checkbox_difficulty_dysgraphia_extra_density,checkbox_difficulty_other_extra_density,sex_conflict,difficulty_conflict,birth_year,birth_year_status,split,reviewed,review_status,review_note,review_updated_at
002_p01_A_l07,002_p01,C:\Magisterka\Formularze\raw_examples\002.pdf,A,7,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l07.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l07.png,187,2740,2300,2927,True,filled,True,22872,0.0578846002971166,316665,0.8014177576550562,False,mezczyzna,nie,nie,0.1428571428571428,0.4634920634920635,0.6,0.21,0.2,0.0024242424242424,0.0358851674641148,0.0689655172413793,0.0307017543859649,0.0332567049808429,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:39:51
002_p01_A_l08,002_p01,C:\Magisterka\Formularze\raw_examples\002.pdf,A,8,UWAGA: SYSTEM WYMAGA AKTUALIZACJI.,UWAGA: SYSTEM WYMAGA AKTUALIZACJI.,UWAGA: SYSTEM WYMAGA AKTUALIZACJI.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l08.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\002_p01_A_l08.png,187,3014,2300,3202,True,filled,True,20951,0.0527408846955523,227427,0.5725121084270625,False,mezczyzna,nie,nie,0.1428571428571428,0.4634920634920635,0.6,0.21,0.2,0.0024242424242424,0.0358851674641148,0.0689655172413793,0.0307017543859649,0.0332567049808429,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:39:51
003_p01_A_l01,003_p01,C:\Magisterka\Formularze\raw_examples\003.pdf,A,1,"Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l01.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l01.png,187,1091,2300,1279,True,filled,True,13123,0.0330351119211366,161125,0.4056071331473855,False,mezczyzna,nie,nie,0.1428571428571428,0.6984126984126984,0.3033333333333333,0.2533333333333333,0.19375,0.0037878787878787,0.0681818181818181,0.0703266787658802,0.043859649122807,0.0326436781609195,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:40:48
003_p01_A_l02,003_p01,C:\Magisterka\Formularze\raw_examples\003.pdf,A,2,"Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l02.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l02.png,187,1366,2300,1553,True,filled,True,12147,0.0307417033844471,164424,0.4161252850320526,False,mezczyzna,nie,nie,0.1428571428571428,0.6984126984126984,0.3033333333333333,0.2533333333333333,0.19375,0.0037878787878787,0.0681818181818181,0.0703266787658802,0.043859649122807,0.0326436781609195,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:40:48
003_p01_A_l03,003_p01,C:\Magisterka\Formularze\raw_examples\003.pdf,A,3,Pchnąć w tę łódź jeża lub ośm skrzyń.,Pchnąć w tę łódź jeża lub ośm skrzyń.,Pchnąć w tę łódź jeża lub ośm skrzyń.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l03.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l03.png,187,1640,2300,1828,True,filled,True,10830,0.027262840974313,239125,0.6019600044305263,False,mezczyzna,nie,nie,0.1428571428571428,0.6984126984126984,0.3033333333333333,0.2533333333333333,0.19375,0.0037878787878787,0.0681818181818181,0.0703266787658802,0.043859649122807,0.0326436781609195,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:40:48
003_p01_A_l04,003_p01,C:\Magisterka\Formularze\raw_examples\003.pdf,A,4,"„Bywam, a może nie bywam? Oto jest pytanie!”","„Bywam, a może nie bywam? Oto jest pytanie!”","„Bywam, a może nie bywam? Oto jest pytanie!”",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l04.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l04.png,187,1915,2300,2103,True,filled,True,13288,0.0334504737642355,232224,0.5845878100109756,False,mezczyzna,nie,nie,0.1428571428571428,0.6984126984126984,0.3033333333333333,0.2533333333333333,0.19375,0.0037878787878787,0.0681818181818181,0.0703266787658802,0.043859649122807,0.0326436781609195,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:40:48
003_p01_A_l05,003_p01,C:\Magisterka\Formularze\raw_examples\003.pdf,A,5,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l05.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l05.png,187,2190,2300,2378,True,filled,True,15816,0.0398143206694122,204594,0.5150335813756785,False,mezczyzna,nie,nie,0.1428571428571428,0.6984126984126984,0.3033333333333333,0.2533333333333333,0.19375,0.0037878787878787,0.0681818181818181,0.0703266787658802,0.043859649122807,0.0326436781609195,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:40:48
003_p01_A_l06,003_p01,C:\Magisterka\Formularze\raw_examples\003.pdf,A,6,Miecz. Na plecach. Dlaczego masz na plecach miecz?,Miecz. Na plecach. Dlaczego masz na plecach miecz?,Miecz. Na plecach. Dlaczego masz na plecach miecz?,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l06.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l06.png,187,2465,2300,2652,True,filled,True,14114,0.0357197992564491,178920,0.4528118522717782,False,mezczyzna,nie,nie,0.1428571428571428,0.6984126984126984,0.3033333333333333,0.2533333333333333,0.19375,0.0037878787878787,0.0681818181818181,0.0703266787658802,0.043859649122807,0.0326436781609195,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:40:48
003_p01_A_l07,003_p01,C:\Magisterka\Formularze\raw_examples\003.pdf,A,7,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l07.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l07.png,187,2740,2300,2927,True,filled,True,15303,0.0387289278745529,255684,0.6470866623980401,False,mezczyzna,nie,nie,0.1428571428571428,0.6984126984126984,0.3033333333333333,0.2533333333333333,0.19375,0.0037878787878787,0.0681818181818181,0.0703266787658802,0.043859649122807,0.0326436781609195,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:40:48
003_p01_A_l08,003_p01,C:\Magisterka\Formularze\raw_examples\003.pdf,A,8,UWAGA: SYSTEM WYMAGA AKTUALIZACJI.,UWAGA: SYSTEM WYMAGA AKTUALIZACJI,UWAGA: SYSTEM WYMAGA AKTUALIZACJI,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l08.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\003_p01_A_l08.png,187,3014,2300,3202,True,filled,True,13150,0.0331030802227346,140283,0.3531406390027288,False,mezczyzna,nie,nie,0.1428571428571428,0.6984126984126984,0.3033333333333333,0.2533333333333333,0.19375,0.0037878787878787,0.0681818181818181,0.0703266787658802,0.043859649122807,0.0326436781609195,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:40:48
004_p01_A_l01,004_p01,C:\Magisterka\Formularze\raw_examples\004.pdf,A,1,"Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l01.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l01.png,187,1091,2300,1279,True,filled,True,14099,0.0354920401566795,174725,0.4398430183967536,False,mezczyzna,nie,nie,0.1428571428571428,0.4761904761904761,0.6066666666666667,0.2533333333333333,0.184375,0.0036363636363636,0.051584928229665,0.0772837265577737,0.0408348457350272,0.0334099616858237,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:52:18
004_p01_A_l02,004_p01,C:\Magisterka\Formularze\raw_examples\004.pdf,A,2,"Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l02.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l02.png,187,1366,2300,1553,True,filled,True,14849,0.0375799418420726,186948,0.473129164758017,False,mezczyzna,nie,nie,0.1428571428571428,0.4761904761904761,0.6066666666666667,0.2533333333333333,0.184375,0.0036363636363636,0.051584928229665,0.0772837265577737,0.0408348457350272,0.0334099616858237,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:52:18
004_p01_A_l03,004_p01,C:\Magisterka\Formularze\raw_examples\004.pdf,A,3,Pchnąć w tę łódź jeża lub ośm skrzyń.,Pchnąć w tę łódź jeża lub ośm skrzyń.,Pchnąć w tę łódź jeża lub ośm skrzyń.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l03.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l03.png,187,1640,2300,1828,True,filled,True,13731,0.0345656573793436,311819,0.7849558457774063,False,mezczyzna,nie,nie,0.1428571428571428,0.4761904761904761,0.6066666666666667,0.2533333333333333,0.184375,0.0036363636363636,0.051584928229665,0.0772837265577737,0.0408348457350272,0.0334099616858237,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:52:18
004_p01_A_l04,004_p01,C:\Magisterka\Formularze\raw_examples\004.pdf,A,4,"„Bywam, a może nie bywam? Oto jest pytanie!”","„Bywam, a może nie bywam? Oto jest pytanie!”","„Bywam, a może nie bywam? Oto jest pytanie!”",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l04.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l04.png,187,1915,2300,2103,True,filled,True,14591,0.0367305736524654,295152,0.7429992649354049,False,mezczyzna,nie,nie,0.1428571428571428,0.4761904761904761,0.6066666666666667,0.2533333333333333,0.184375,0.0036363636363636,0.051584928229665,0.0772837265577737,0.0408348457350272,0.0334099616858237,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:52:18
004_p01_A_l05,004_p01,C:\Magisterka\Formularze\raw_examples\004.pdf,A,5,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,Stary zegar w wieży wybił właśnie godzinę dziewiątą.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l05.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l05.png,187,2190,2300,2378,True,filled,True,22307,0.0561544038424746,295970,0.7450584527393743,False,mezczyzna,nie,nie,0.1428571428571428,0.4761904761904761,0.6066666666666667,0.2533333333333333,0.184375,0.0036363636363636,0.051584928229665,0.0772837265577737,0.0408348457350272,0.0334099616858237,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:52:18
004_p01_A_l06,004_p01,C:\Magisterka\Formularze\raw_examples\004.pdf,A,6,Miecz. Na plecach. Dlaczego masz na plecach miecz?,Miecz. Na plecach. Dlaczego masz na plecach miecz?,Miecz. Na plecach. Dlaczego masz na plecach miecz?,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l06.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l06.png,187,2465,2300,2652,True,filled,True,16936,0.0428617344627478,241484,0.6111492138050418,False,mezczyzna,nie,nie,0.1428571428571428,0.4761904761904761,0.6066666666666667,0.2533333333333333,0.184375,0.0036363636363636,0.051584928229665,0.0772837265577737,0.0408348457350272,0.0334099616858237,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:52:18
004_p01_A_l07,004_p01,C:\Magisterka\Formularze\raw_examples\004.pdf,A,7,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,Żółw powoli przeszedł przez krętą ścieżkę w wilgotnym lesie.,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l07.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l07.png,187,2740,2300,2927,True,filled,True,21252,0.0537846941900281,265629,0.6722555304443336,False,mezczyzna,nie,nie,0.1428571428571428,0.4761904761904761,0.6066666666666667,0.2533333333333333,0.184375,0.0036363636363636,0.051584928229665,0.0772837265577737,0.0408348457350272,0.0334099616858237,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:52:18
004_p01_A_l08,004_p01,C:\Magisterka\Formularze\raw_examples\004.pdf,A,8,UWAGA: SYSTEM WYMAGA AKTUALIZACJI.,UWAGA: SYSTEM WYMAGA AKTUALIZACJI,UWAGA: SYSTEM WYMAGA AKTUALIZACJI,manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l08.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\004_p01_A_l08.png,187,3014,2300,3202,True,filled,True,19630,0.0494154726062571,280374,0.7057979478607607,False,mezczyzna,nie,nie,0.1428571428571428,0.4761904761904761,0.6066666666666667,0.2533333333333333,0.184375,0.0036363636363636,0.051584928229665,0.0772837265577737,0.0408348457350272,0.0334099616858237,False,False,2008.0,manual,train,True,validated,,2026-05-17T15:52:18
005_p01_A_l01,005_p01,C:\Magisterka\Formularze\raw_examples\005.pdf,A,1,"Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.","Litwo, Ojczyzno moja! Ty jesteś jak zdrowie.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\005_p01_A_l01.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\005_p01_A_l01.png,187,1091,2300,1279,True,filled,True,7297,0.0183690628429881,139020,0.3499612328946441,False,kobieta,nie,nie,0.8690476190476191,0.2,0.7033333333333334,0.24,0.203125,0.0693939393939394,0.0173444976076555,0.0896854204476709,0.0462794918330308,0.0364750957854406,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:52:46
005_p01_A_l02,005_p01,C:\Magisterka\Formularze\raw_examples\005.pdf,A,2,"Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.","Mężny bądź, chroń pułk twój i sześć flag.",manual_reviewed,review_app,C:\Magisterka\Formularze\processed_320_check\lines_flat\005_p01_A_l02.png,C:\Magisterka\Formularze\processed_320_check\lines_flat\005_p01_A_l02.png,187,1366,2300,1553,True,filled,True,8187,0.0207197106782307,134946,0.3415221787204749,False,kobieta,nie,nie,0.8690476190476191,0.2,0.7033333333333334,0.24,0.203125,0.0693939393939394,0.0173444976076555,0.0896854204476709,0.0462794918330308,0.0364750957854406,False,False,2007.0,manual,train,True,validated,,2026-05-17T15:52:46
